repo_id,full_name,stars,created_at,pushed_at,license_spdx,license_stratum,language,homepage,class_label,signal_type,has_repo_robots,repo_robots_blocks_all,repo_robots_blocks_ai_count,has_homepage_robots,homepage_robots_blocks_all,homepage_robots_blocks_ai_count,has_llms_txt,tdm_reservation_header,x_robots_noai,readme_opt_out_count,readme_opt_in_count,license_opt_out_count,license_opt_in_count
641656392,unionlabs/union,73930,2023-05-16T22:33:39Z,2026-06-30T09:38:05Z,Apache-2.0,permissive,Rust,https://union.build,NONE,no detectable AI consent signal,False,False,0,True,False,0,False,False,False,0,0,0,0
15452919,ethereum/go-ethereum,51159,2013-12-26T13:05:46Z,2026-07-02T13:08:44Z,LGPL-3.0,copyleft,Go,https://geth.ethereum.org,NONE,no detectable AI consent signal,False,False,0,True,False,0,False,False,False,0,0,0,0
91253698,ccxt/ccxt,43159,2017-05-14T15:41:56Z,2026-07-02T14:20:38Z,MIT,permissive,Python,https://docs.ccxt.com,OPT_IN,llms.txt present at homepage; README keyword: ['llms.txt'],False,False,0,True,False,0,True,False,False,0,1,0,0
787637064,shardeum/shardeum,31368,2024-04-16T22:37:25Z,2025-09-15T10:43:50Z,MIT,permissive,TypeScript,https://shardeum.org/,NONE,no detectable AI consent signal,False,False,0,True,False,0,False,False,False,0,0,0,0
64700934,OpenZeppelin/openzeppelin-contracts,27176,2016-08-01T20:54:54Z,2026-07-01T15:48:24Z,MIT,permissive,Solidity,https://openzeppelin.com/contracts,NONE,no detectable AI consent signal,False,False,0,True,False,0,False,False,False,0,0,0,0
40892817,argotorg/solidity,25667,2015-08-17T12:27:26Z,2026-07-02T14:24:30Z,GPL-3.0,copyleft,C++,https://soliditylang.org,OPT_OUT,"homepage robots.txt: blocks AI crawlers ['Amazonbot', 'Bytespider', 'CCBot']",False,False,0,True,False,5,False,False,False,0,0,0,0
65392364,ethereumbook/ethereumbook,21522,2016-08-10T15:07:54Z,2026-05-13T14:04:25Z,,no_license,,https://masteringethereum.xyz/,NONE,no detectable AI consent signal,False,False,0,False,False,0,False,False,False,0,0,0,0
179163124,hummingbot/hummingbot,19048,2019-04-02T21:41:52Z,2026-07-02T08:07:22Z,Apache-2.0,permissive,Python,https://hummingbot.org,NONE,no detectable AI consent signal,False,False,0,True,False,0,False,False,False,0,0,0,0
448715893,smartcontractkit/full-blockchain-solidity-course-js,14025,2022-01-17T01:15:22Z,2024-06-12T05:10:25Z,,no_license,,,NONE,no detectable AI consent signal,False,False,0,False,False,0,False,False,False,0,0,0,0
476957520,AmazingAng/WTF-Solidity,14008,2022-04-02T05:33:11Z,2026-06-27T19:33:53Z,NOASSERTION,no_license,Solidity,https://wtf.academy,NONE,no detectable AI consent signal,False,False,0,False,False,0,False,False,False,0,0,0,0
42009758,MetaMask/metamask-extension,13160,2015-09-06T16:34:48Z,2026-07-02T14:26:12Z,NOASSERTION,no_license,TypeScript,https://metamask.io,OPT_IN,llms.txt present at homepage,False,False,0,True,False,0,True,False,False,0,0,0,0
389803219,smartcontractkit/full-blockchain-solidity-course-py,11214,2021-07-27T00:23:44Z,2024-04-16T07:21:43Z,MIT,permissive,,,NONE,no detectable AI consent signal,False,False,0,False,False,0,False,False,False,0,0,0,0
378536025,OffcierCia/DeFi-Developer-Road-Map,10779,2021-06-20T01:34:08Z,2026-06-03T14:19:17Z,NOASSERTION,no_license,JavaScript,https://officercia.mirror.xyz/Uc1sf64yUCb0uo1DxR_nuif5EmMPs-RAshDyoAGEZZY,OPT_IN,llms.txt present at homepage,False,False,0,True,False,0,True,False,False,0,0,0,0
404320053,foundry-rs/foundry,10459,2021-09-08T11:23:11Z,2026-07-02T14:25:53Z,Apache-2.0,permissive,Rust,https://getfoundry.sh/,OPT_IN,llms.txt present at homepage,False,False,0,False,False,0,True,False,False,0,0,0,0
162613268,ethereum-lists/chains,9828,2018-12-20T17:53:10Z,2026-06-26T22:22:55Z,MIT,permissive,Kotlin,https://chainid.network,NONE,no detectable AI consent signal,False,False,0,False,False,0,False,False,False,0,0,0,0
14735429,capstone-engine/capstone,8876,2013-11-27T02:32:11Z,2026-06-30T13:14:03Z,,no_license,C,http://www.capstone-engine.org,NONE,no detectable AI consent signal,False,False,0,True,False,0,False,False,False,0,0,0,0
63465664,ethers-io/ethers.js,8702,2016-07-16T04:35:37Z,2026-06-18T05:08:13Z,MIT,permissive,TypeScript,https://ethers.org/,NONE,no detectable AI consent signal,False,False,0,False,False,0,False,False,False,0,0,0,0
129558668,NomicFoundation/hardhat,8492,2018-04-14T22:20:59Z,2026-07-02T12:33:51Z,NOASSERTION,no_license,TypeScript,https://hardhat.org,OPT_IN,llms.txt present at homepage,False,False,0,True,False,0,True,False,False,0,0,0,0
111455867,smartcontractkit/chainlink,8222,2017-11-20T19:50:46Z,2026-07-02T14:21:02Z,NOASSERTION,no_license,Go,https://chain.link,OPT_IN,llms.txt present at homepage,False,False,0,True,False,0,True,False,False,0,0,0,0
943950290,datahaven-xyz/datahaven,7934,2025-03-06T14:35:59Z,2026-04-17T12:27:11Z,GPL-3.0,copyleft,Rust,https://datahaven.xyz/,NONE,no detectable AI consent signal,False,False,0,False,False,0,False,False,False,0,0,0,0
62163576,ConsenSysDiligence/smart-contract-best-practices,7581,2016-06-28T18:08:50Z,2025-03-28T18:05:41Z,,no_license,HTML,https://consensysdiligence.github.io/smart-contract-best-practices/,NONE,no detectable AI consent signal,False,False,0,False,False,0,False,False,False,0,0,0,0
60696763,yeasy/blockchain_guide,7073,2016-06-08T12:39:33Z,2026-06-30T12:16:20Z,,no_license,Go,https://yeasy.gitbook.io/blockchain_guide/,OPT_IN,llms.txt present at homepage,False,False,0,True,False,0,True,False,False,0,0,0,0
62893187,bkrem/awesome-solidity,7034,2016-07-08T14:07:27Z,2026-04-20T10:49:23Z,,no_license,,https://bkrem.github.io/awesome-solidity,NONE,no detectable AI consent signal,False,False,0,False,False,0,False,False,False,0,0,0,0
430942608,wevm/wagmi,6736,2021-11-23T03:11:46Z,2026-07-01T19:38:54Z,MIT,permissive,TypeScript,https://wagmi.sh,OPT_IN,llms.txt present at homepage,False,False,0,False,False,0,True,False,False,0,0,0,0
501990676,SunWeb3Sec/DeFiHackLabs,6613,2022-06-10T09:57:11Z,2026-07-01T05:24:27Z,Apache-2.0,permissive,Solidity,,NONE,no detectable AI consent signal,False,False,0,False,False,0,False,False,False,0,0,0,0
238797860,ethereum-optimism/optimism,6449,2020-02-06T22:28:26Z,2026-07-02T14:01:13Z,MIT,permissive,Go,https://optimism.io,NONE,no detectable AI consent signal,False,False,0,True,False,0,False,False,False,0,0,0,0
147583941,crytic/slither,6310,2018-09-05T21:56:35Z,2026-06-11T00:45:49Z,AGPL-3.0,copyleft,Python,https://blog.trailofbits.com/2018/10/19/slither-a-solidity-static-analysis-framework/,OPT_IN,llms.txt present at homepage,False,False,0,True,False,0,True,False,False,0,0,0,0
116457726,ethereum/ethereum-org-website,5938,2018-01-06T05:54:37Z,2026-07-02T13:38:10Z,MIT,permissive,Markdown,https://ethereum.org/,OPT_IN,llms.txt present at homepage,False,False,0,True,False,0,True,False,False,0,0,0,0
375027355,Dapp-Learning-DAO/Dapp-Learning,5842,2021-06-08T13:54:10Z,2026-03-30T11:30:39Z,MIT,permissive,Solidity,https://dapplearning.org,NONE,no detectable AI consent signal,False,False,0,True,False,0,False,False,False,0,0,0,0
157421028,Uniswap/web3-react,5691,2018-11-13T17:39:38Z,2024-08-20T17:47:06Z,GPL-3.0,copyleft,TypeScript,https://web3-react-mu.vercel.app/,NONE,no detectable AI consent signal,False,False,0,False,False,0,False,False,False,0,0,0,0
537233603,paradigmxyz/reth,5678,2022-09-15T23:05:57Z,2026-07-02T13:55:15Z,Apache-2.0,permissive,Rust,https://reth.rs/,OPT_IN,llms.txt present at homepage,False,False,0,False,False,0,True,False,False,0,0,0,0
